what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1331067858493
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1331067858526
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1331067858576
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1331067858643
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1331067858700
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1331067858714
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1331067858734
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1331067858753
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1331067858808
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1331067858852
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1331067858888
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1331067859125
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1331067859172
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1331067859197
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1331067859203
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1331067859250
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1331067859305
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1331067859359
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1331067859369
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1331067859383
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1331067859396
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1331067859413
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1331067859427
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1331067859429
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1331067859456
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1331067859491
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1331067859502
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1331067859509
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1331067859521
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1331067859530
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1331067859543
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1331067859561
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1331067859566
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1331067859567
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1331067859571
os,sysinfo,,,"win32",1331067859574
arch,sysinfo,,,"x86_64",1331067859574
ws,sysinfo,,,"win32",1331067859574
locale,sysinfo,,,"en_US",1331067859574
processors,sysinfo,,,"8",1331067859574
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331067859574
java.runtime.version,sysinfo,,,"1.6.0_30-b12",1331067859574
java.specification.name,sysinfo,,,"Java Platform API Specification",1331067859574
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331067859574
java.specification.version,sysinfo,,,"1.6",1331067859575
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1331067859575
java.version,sysinfo,,,"1.6.0_30",1331067859575
java.vm.info,sysinfo,,,"mixed mode",1331067859575
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1331067859575
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331067859575
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331067859575
java.vm.specification.version,sysinfo,,,"1.0",1331067859575
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1331067859575
java.vm.version,sysinfo,,,"20.5-b03",1331067859575
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331067902606
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1331067903059
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1331067903067
